,black/african american,white/caucasian,hispanic/latino,asian,native american/indigenous,pacific islander
covid-19,1,0,0,0,0,0
hiv/aids,0,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
colon cancer,0,0,0,0,0,0
tuberculoses,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
syphilis,0,0,0,0,0,0
diabetes all,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
essential hypertension,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
ulcerative colitis,0,0,0,0,0,0
crohnâ€™s disease,0,0,0,0,0,0
gastric cancer,0,0,0,0,0,0
chagas disease,0,0,0,0,0,0
ovarian cancer,0,0,0,0,0,0
3545003.0,0,0,0,0,0,0
3716002.0,0,0,0,0,0,0
3723001.0,0,0,0,0,0,0
4308002.0,0,0,0,0,0,0
6142004.0,0,0,0,0,0,0
6471006.0,0,0,0,0,0,0
7973008.0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,0,0,0,0,0,0
9829001.0,0,0,0,0,0,0
10743008.0,0,0,0,0,0,0
11072008.0,0,0,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
13746004.0,0,0,0,0,0,0
13791008.0,0,0,0,0,0,0
14304000.0,0,0,0,0,0,0
14669001.0,0,0,0,0,0,0
15188001.0,0,0,0,0,0,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
21134002.0,0,0,0,0,0,0
22193007.0,0,0,0,0,0,0
22298006.0,0,0,0,0,0,0
23502006.0,0,0,0,0,0,0
23919004.0,0,0,0,0,0,0
24693007.0,0,0,0,0,0,0
24700007.0,0,0,0,0,0,0
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
26929004.0,0,0,0,0,0,0
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,0,0,0,0,0
32398004.0,0,0,0,0,0,0
32798002.0,0,0,0,0,0,0
32914008.0,0,0,0,0,0,0
33308003.0,0,0,0,0,0,0
34840004.0,0,0,0,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,0,0,0,0,0,0
37340000.0,0,0,0,0,0,0
38936003.0,0,0,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,0,0,0,0,0
40095003.0,0,0,0,0,0,0
40733004.0,0,0,0,0,0,0
40930008.0,0,0,0,0,0,0
41982003.0,0,0,0,0,0,0
42345000.0,0,0,0,0,0,0
42399005.0,0,0,0,0,0,0
43116000.0,0,0,0,0,0,0
43364001.0,0,0,0,0,0,0
44054006.0,0,0,0,0,0,0
44695005.0,0,0,0,0,0,0
45352006.0,0,0,0,0,0,0
46635009.0,0,0,0,0,0,0
47004009.0,0,0,0,0,0,0
48661000.0,0,0,0,0,0,0
49049000.0,0,0,0,0,0,0
49601007.0,0,0,0,0,0,0
50829006.0,0,0,0,0,0,0
52448006.0,0,0,0,0,0,0
52702003.0,0,0,0,0,0,0
53741008.0,0,0,0,0,0,0
54150009.0,0,0,0,0,0,0
55300003.0,0,0,0,0,0,0
56265001.0,0,0,0,0,0,0
56317004.0,0,0,0,0,0,0
56925008.0,0,0,0,0,0,0
57182000.0,0,0,0,0,0,0
57406009.0,0,0,0,0,0,0
57676002.0,0,0,0,0,0,0
59927004.0,0,0,0,0,0,0
60032008.0,0,0,0,0,0,0
60862001.0,0,0,0,0,0,0
61462000.0,0,0,0,0,0,0
61599003.0,0,0,0,0,0,0
62315008.0,0,0,0,0,0,0
63102001.0,0,0,0,0,0,0
64226004.0,0,0,0,0,0,0
64766004.0,0,0,0,0,0,0
66383009.0,0,0,0,0,0,0
67362008.0,0,0,0,0,0,0
68172002.0,0,0,0,0,0,0
68449006.0,0,0,0,0,0,0
68566005.0,0,0,0,0,0,0
68962001.0,0,0,0,0,0,0
69322001.0,0,0,0,0,0,0
69896004.0,0,0,0,0,0,0
70076002.0,0,0,0,0,0,0
73211009.0,0,0,0,0,0,0
73442001.0,0,0,0,0,0,0
74732009.0,0,0,0,0,0,0
75694006.0,0,0,0,0,0,0
76376003.0,0,0,0,0,0,0
77547008.0,0,0,0,0,0,0
80690008.0,0,0,0,0,0,0
80967001.0,0,0,0,0,0,0
81308009.0,0,0,0,0,0,0
81498004.0,0,0,0,0,0,0
82639001.0,0,0,0,0,0,0
82991003.0,0,0,0,0,0,0
83901003.0,0,0,0,0,0,0
84017003.0,0,0,0,0,0,0
85828009.0,0,0,0,0,0,0
86044005.0,0,0,0,0,0,0
87486003.0,0,0,0,0,0,0
88092000.0,0,0,0,0,0,0
90708001.0,0,0,0,0,0,0
95891005.0,0,0,0,0,0,0
102480002.0,0,0,0,0,0,0
118940003.0,0,0,0,0,0,0
128601007.0,0,0,0,0,0,0
128609009.0,0,0,0,0,0,0
129103003.0,0,0,0,0,0,0
129565002.0,0,0,0,0,0,0
131148009.0,0,0,0,0,0,0
134407002.0,0,0,0,0,0,0
161156004.0,0,0,0,0,0,0
161891005.0,0,0,0,0,0,0
162076009.0,0,0,0,0,0,0
162315007.0,0,0,0,0,0,0
186748004.0,0,0,0,0,0,0
191736004.0,0,0,0,0,0,0
193000002.0,0,0,0,0,0,0
193093009.0,0,0,0,0,0,0
193462001.0,0,0,0,0,0,0
193570009.0,0,0,0,0,0,0
195967001.0,0,0,0,0,0,0
200936003.0,0,0,0,0,0,0
202852009.0,0,0,0,0,0,0
202882003.0,0,0,0,0,0,0
213257006.0,0,0,0,0,0,0
214264003.0,0,0,0,0,0,0
233604007.0,0,0,0,0,0,0
235856003.0,0,0,0,0,0,0
236620008.0,0,0,0,0,0,0
237602007.0,0,0,0,0,0,0
238539001.0,0,0,0,0,0,0
239873007.0,0,0,0,0,0,0
239965002.0,0,0,0,0,0,0
240131006.0,0,0,0,0,0,0
247592009.0,0,0,0,0,0,0
250084002.0,0,0,0,0,0,0
267045008.0,0,0,0,0,0,0
267953003.0,0,0,0,0,0,0
271587009.0,0,0,0,0,0,0
271596009.0,0,0,0,0,0,0
271767006.0,0,0,0,0,0,0
271832001.0,0,0,0,0,0,0
278040002.0,0,0,0,0,0,0
280816001.0,0,0,0,0,0,0
281794004.0,0,0,0,0,0,0
302226006.0,0,0,0,0,0,0
307496006.0,0,0,0,0,0,0
308925008.0,0,0,0,0,0,0
314983004.0,0,0,0,0,0,0
315642008.0,0,0,0,0,0,0
363058009.0,0,0,0,0,0,0
363346000.0,0,0,0,0,0,0
363406005.0,0,0,0,0,0,0
367391008.0,0,0,0,0,0,0
370143000.0,0,0,0,0,0,0
371081002.0,0,0,0,0,0,0
371405004.0,0,0,0,0,0,0
371632003.0,0,0,0,0,0,0
386033004.0,0,0,0,0,0,0
386806002.0,0,0,0,0,0,0
386807006.0,0,0,0,0,0,0
396275006.0,0,0,0,0,0,0
397540003.0,0,0,0,0,0,0
397803000.0,0,0,0,0,0,0
397825006.0,0,0,0,0,0,0
399068003.0,0,0,0,0,0,0
399122003.0,0,0,0,0,0,0
399269003.0,0,0,0,0,0,0
402234004.0,0,0,0,0,0,0
409622000.0,0,0,0,0,0,0
423849004.0,0,0,0,0,0,0
425772008.0,0,0,0,0,0,0
428061005.0,0,0,0,0,0,0
428281000.0,0,0,0,0,0,0
429040005.0,0,0,0,0,0,0
429340002.0,0,0,0,0,0,0
429360005.0,0,0,0,0,0,0
440630006.0,0,0,0,0,0,0
443694000.0,0,0,0,0,0,0
443892003.0,0,0,0,0,0,0
444312002.0,0,0,0,0,0,0
448589005.0,0,0,0,0,0,0
609599003.0,0,0,0,0,0,0
609600000.0,0,0,0,0,0,0
698247007.0,0,0,0,0,0,0
